"Research that uses data from D-PLACE should cite both the original source(s) of  the data and the paper by Kirby et al. in which D-PLACE was first presented  (e.g., research using cultural data from the Binford Hunter-Gatherer dataset: ""Binford (2001);  Binford and Johnson (2006); Kirby et al. Submitted)."" The reference list should include the date data were  accessed and URL for D-PLACE (https://d-place.org), in addition to the full references for Binford (2001),  Binford and Johnson (2006), and Kirby et al. Submitted."
Source,Preferred society name,Society id,Cross-dataset id,Original society name,Revised latitude,Revised longitude,Original latitude,Original longitude,Glottolog language/dialect id,Glottolog language/dialect name,ISO code,Language family,Focal Year: EA027 Kin terms for cousins,Code: EA027 Kin terms for cousins,Description: EA027 Kin terms for cousins,Comment: EA027 Kin terms for cousins,Subcase: EA027 Kin terms for cousins,References: EA027 Kin terms for cousins,Focal Year: EA043 Descent: major type,Code: EA043 Descent: major type,Description: EA043 Descent: major type,Comment: EA043 Descent: major type,Subcase: EA043 Descent: major type,References: EA043 Descent: major type
Ethnographic Atlas,Aymara,Sf2,xd1375,Aymara (Sf2),-16.0,-69.0,-16.0,-69.0,cent2142,Central Aymara,ayr,Aymara,1940,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Chucuito Clan community in Peru,LaBarre(1948); Bouroncle Carreon(1964); Tschopik(1951); Tschopik(1946); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",See related comment(s) by Murdock: variable EA017: Patrilineages are presumably a pot-contact development,Chucuito Clan community in Peru,LaBarre(1948); Bouroncle Carreon(1964); Tschopik(1951); Tschopik(1946); 
Ethnographic Atlas,Dogon,Ag3,xd266,Dogon (Ag3),15.0,-3.0,15.0,-3.0,bank1259,Bankan Tey Dogon,dbw,Dogon,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Arnaud(1921); Paulme(1940); Dieterlen(1956); Griaule and Dieterlen(1954); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Arnaud(1921); Paulme(1940); Dieterlen(1956); Griaule and Dieterlen(1954); 
Ethnographic Atlas,Otomí,Nj13,xd1299,Otomi (Nj13),20.0,-99.0,20.0,-99.0,mezq1235,Mezquital Otomi,ote,Otomanguean,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Soustelle(1937); ,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Soustelle(1937); 
Ethnographic Atlas,Bura,Ah35,xd326,Bura (Ah35),10.0,12.0,10.0,12.0,bura1292,Bura-Pabir,bwr,Afro-Asiatic,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Meek(1931d); Helser(1926); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931d); Helser(1926); 
Ethnographic Atlas,Chichimeca,Ni5,xd1290,Chichimec (Ni5),22.0,-100.0,22.0,-100.0,chic1272,Chichimeca-Jonaz,pei,Otomanguean,1570,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",Not specifically attested for the 16th century but inferred as probable from subsequent ethnographic reports,,Driver and Driver(1963); ,1570,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Driver and Driver(1963); 
Ethnographic Atlas,Dilling,Ai8,xd382,Dilling (Ai8),12.0,30.0,12.0,30.0,dill1242,Dilling,dil,Nubian,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Hawkesworth(1932); Nadel(1947); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Hawkesworth(1932); Nadel(1947); 
Ethnographic Atlas,Kayapo,Sj9,xd1417,Coroa (Sj9),-8.0,-52.0,-8.0,-52.0,acro1239,Acroá,acs,Nuclear-Macro-Je,1950,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Soates Diniz(1962); Krause(1911); Dreyfus(1963); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variables EA017, EA019, EA021: Contrary to earlier reports on matrilineal descent, Dreyfus insists that moiety affiliation does not depend upon kinship, that there are no unilineal kin groups, and that the exogamous name groups are based on ""cross descent,"" matrilineal for males and patrilineal for females",,Soates Diniz(1962); Krause(1911); Dreyfus(1963); 
Ethnographic Atlas,Gude,Ah36,xd327,Gude (Ah36),10.0,13.0,10.0,13.0,gude1246,Gude,gde,Afro-Asiatic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Meek(1931d); Lembezat(1961); 
Ethnographic Atlas,Zinza,Ad49,xd119,Zinza (Ad49),-3.0,31.0,-3.0,31.0,zinz1238,Zinza,zin,Atlantic-Congo,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Taylor(1962); 
Ethnographic Atlas,Eastern Cree,Na31,xd1047,Eastern Cree (Na31),51.0,-85.0,51.0,-85.0,sout2978,Southern East Cree,crj,Algic,,NA,Missing data,,,,1850,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA021: Or possibly quasi-lineages (code ""6"")",with special reference to those of Albany and Moose Creek,Skinner(1912); 
Ethnographic Atlas,American Samoans,Ii1,xd876,Samoans (Ii1),-14.289155,-170.706485,-14.0,-170.0,samo1305,Samoan,smo,Austronesian,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to American Samoa,Grattan(1948); Mead(1937c); Mead(1950b); Mead(1930c); Buck(1930); Stair(1897); Murdock(1934l); Kramer(1901-02); Turner(1884); Kramer(1906); Cook(1942); Freeman(1965); Mead(1928); Ember(1959); ,1920,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",,with special reference to American Samoa,Grattan(1948); Mead(1937c); Mead(1950b); Mead(1930c); Buck(1930); Stair(1897); Murdock(1934l); Kramer(1901-02); Turner(1884); Kramer(1906); Cook(1942); Freeman(1965); Mead(1928); Ember(1959); 
Ethnographic Atlas,Trarza,Cc19,xd497,Trarza (Cc19),18.0,-15.0,18.0,-15.0,hass1238,Hassaniyya,mey,Afro-Asiatic,,NA,Missing data,,,,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Dubie(1953); Martv(1919); 
Ethnographic Atlas,Belu,Ic3,xd765,Belu (Ic3),-9.0,126.0,-9.0,126.0,tetu1245,Tetum,tet,Austronesian,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",But Iroquois between male cross-cousins,with special reference to the Mountain Belu,Vroklage(1952); ,1950,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,with special reference to the Mountain Belu,Vroklage(1952); 
Ethnographic Atlas,Delim,Cc17,xd495,Delim (Cc17),22.0,-15.0,22.0,-15.0,hass1238,Hassaniyya,mey,Afro-Asiatic,1930,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Lotte(1939); Caro Baroja(1955); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Lotte(1939); Caro Baroja(1955); 
Ethnographic Atlas,Bororo Fulani,Cb8,xd485,Bororo Fulani (Cb8),13.0,5.0,13.0,5.0,boro1274,Bororo (Atlantic Congo),,Atlantic-Congo,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to the Bororo Fulani of Skoto,Forde and Scott(1946); Stenning(1959); Faidherbe(1882); St. Croix(1944); Wilson-HAffenden(1925); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",See related comment(s) by Murdock: variable EA017: But one source speaks of patrilineages,with special reference to the Bororo Fulani of Skoto,Forde and Scott(1946); Stenning(1959); Faidherbe(1882); St. Croix(1944); Wilson-HAffenden(1925); 
Ethnographic Atlas,Otoro,Ai10,xd338,Otoro (Ai10),12.0,31.0,12.0,31.0,otor1240,Otoro,otr,Heiban,1940,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Nuba Hills,Nadel(1947); ,1940,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Nuba Hills,Nadel(1947); 
Ethnographic Atlas,Punan,Ib9,xd758,Punan (Ib9),3.0,115.0,3.0,115.0,puna1275,Punan Bah-Biau,pna,Austronesian,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,with special reference to settled Punan,Needham(1955); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to settled Punan,Needham(1955); 
Ethnographic Atlas,Lowiili,Ag36,xd273,Lowiili (Ag36),11.0,-3.0,11.0,-3.0,malb1235,Malba Birifor,bfo,Atlantic-Congo,1950,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Goody(1958); Goody(1956); ,1950,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Goody(1958); Goody(1956); 
Ethnographic Atlas,Isleta,Nh10,xd1260,Isleta (Nh10),35.0,-107.0,35.0,-107.0,sout2961,Southern Tiwa,tix,Kiowa-Tanoan,1920,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Trager(1943); Parsons(1932a); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Trager(1943); Parsons(1932a); 
Ethnographic Atlas,Hadimu,Ad29,xd97,Hadimu (Ad29),-6.07,39.43,-6.0,40.0,pemb1239,Pemba,,Atlantic-Congo,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Ingrams(1930); Prins(1961); ,1930,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)",See related comment(s) by Murdock: variable EA021: But with patrilineal bias,,Ingrams(1930); Prins(1961); 
Ethnographic Atlas,Sundi,Ac18,xd42,Sundi (Ac18),-5.0,14.0,-5.0,14.0,suun1239,Suundi,sdj,Atlantic-Congo,,NA,Missing data,,,,1910,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Even(1931); Laman(1953); Hutereau(1910b); Soret(1959); 
Ethnographic Atlas,San Ildefonso,Nh11,xd1261,Tewa (Nh11),36.0,-106.0,36.0,-106.0,sani1273,San Ildefonso,,Kiowa-Tanoan,1900,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,with special reference to the pueblo of San Ildefonso,Parsons(1929); Robbins et al.(1916); Dozier(1954); Whitman(1940); Dozier(1961); ,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,with special reference to the pueblo of San Ildefonso,Parsons(1929); Robbins et al.(1916); Dozier(1954); Whitman(1940); Dozier(1961); 
Ethnographic Atlas,Bashi,Ae13,xd131,Bashi (Ae13),-2.0,29.0,-2.0,29.0,shii1238,Shi,shr,Atlantic-Congo,1920,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Colle(1922b); Colle(1922a); Colle(1921); Roy(1924-25); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Colle(1922b); Colle(1922a); Colle(1921); Roy(1924-25); 
Ethnographic Atlas,Taos,Nh6,xd1282,Taos (Nh6),37.0,-106.0,37.0,-106.0,taos1236,Taos,,Kiowa-Tanoan,1890,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Trager(1943); Parsons(1936b); ,1890,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,,Trager(1943); Parsons(1936b); 
Ethnographic Atlas,Burmese,Ei3,xd709,Burmese (Ei3),20.0,95.0,20.0,95.0,nucl1310,Nuclear Burmese,mya,Sino-Tibetan,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); ,1950,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",,Nondwin Village,Le Bar et al.(1964c); Brohm(1963); Somit and Welsh(1956); Scott(1882); Nash(1965); Nash(1963); Trager(1956); 
Ethnographic Atlas,Kulango,Ag35,xd272,Kulango (Ag35),7.0,-3.0,7.0,-3.0,boun1243,Bouna Kulango,nku,Atlantic-Congo,,NA,Missing data,,,,1910,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Tauxier(1921); 
Ethnographic Atlas,K'iche',Sa13,xd1313,Quiche (Sa13),15.0,-91.0,15.0,-91.0,kich1262,K'iche',quc,Mayan,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,Town of Chichicastenango,Schultze-Jena(1933); Bunzel(1952); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Town of Chichicastenango,Schultze-Jena(1933); Bunzel(1952); 
Ethnographic Atlas,Luimbe,Ac28,xd53,Luimbe (Ac28),-12.0,18.0,-12.0,18.0,luim1238,Luimbi,lum,Atlantic-Congo,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,McCulloch(1951); Baumann(1935); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,McCulloch(1951); Baumann(1935); 
Ethnographic Atlas,Kamia,Nh20,xd1271,Kamia (Nh20),33.0,-115.0,33.0,-115.0,kimi1238,Kimiai,,Cochimi-Yuman,1860,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Gifford(1931); ,1860,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Gifford(1931); 
Ethnographic Atlas,Malinke,Ag9,xd297,Malinke (Ag9),11.0,-9.0,11.0,-9.0,west2500,Western Maninkakan,mlq,Mande,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Sidibe(1932); Labouret(1934); ,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Sidibe(1932); Labouret(1934); 
Ethnographic Atlas,Lendu,Ai29,xd358,Lendu (Ai29),2.0,30.0,2.0,30.0,lend1245,Lendu,led,Central Sudanic,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Van den Eynde(1923); Baxter and Butt(1953); Maenhaut(1939); Stuhlmann(1894); Czekanowski(1924d); 
Ethnographic Atlas,Akyem,Af12,xd189,Akyem (Af12),7.0,-1.0,7.0,-1.0,akye1239,Akyem Bosome,,Atlantic-Congo,1930,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,with special reference to the Kwahu,Field(1949); Mead(1937a); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",See related comment(s) by Murdock: variable EA017: Patrilineages (ntoro groups) formerly existed but are now extinct,with special reference to the Kwahu,Field(1949); Mead(1937a); 
Ethnographic Atlas,Dyan,Ag33,xd270,Dian (Ag33),11.0,-3.0,11.0,-3.0,dyan1251,Dyan,dya,Atlantic-Congo,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Labouret(1931); ,,NA,Missing data,,,
Ethnographic Atlas,Rossel Islanders,Ig11,xd843,Rossel (Ig11),-11.36,154.14,-9.0,154.0,yele1255,Yele,yle,Yele,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Armstrong(1928); ,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Armstrong(1928); 
Ethnographic Atlas,Builsa,Ag38,xd275,Builsa (Ag38),11.0,-2.0,11.0,-2.0,buli1254,Buli (Ghana),bwu,Atlantic-Congo,1910,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Rattray(1932); Tauxier(1912); ,1910,2,"Duolateral (EA017 > 1, EA019 > 1, EA021 = 9 or EA021 = 0)",,,Rattray(1932); Tauxier(1912); 
Ethnographic Atlas,Beraber,Cd7,xd525,Beraber (Cd7),33.0,-7.0,33.0,-7.0,cent2194,Central Atlas Tamazight,tzm,Afro-Asiatic,,NA,Missing data,,,,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,with special reference to the Zemmur tribe,Celerier(1927); Piquet(1925); Querleux(1915); Michaux-Bellaire(1920); Bourilly(1932); Laoust(1915); 
Ethnographic Atlas,Georgians,Ci8,xd584,Georgians (Ci8),42.0,45.0,42.0,45.0,imer1248,Imeretian,,Kartvelian,1850,2,"Descriptive or derivative, rather than elementary, terms employed for all cousins",,,Abasadse(1894); Haxthausen(1854); Allen(1932); ,,NA,Missing data,,,
Ethnographic Atlas,Tswana,Ab13,xd14,Tswana (Ab13),-24.0,27.0,-24.0,27.0,tswa1253,Tswana,tsn,Atlantic-Congo,1880,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,with special reference to the Kgatla (Bakxatla),Duggan-Cronin(1929); Dorman(1935); Schapera(1953); Schapera(1950); Schapera(1941); Schapera(1938); Schpera(1941); Livingstone(1858); Brown(1926); ,1880,4,"Quasi-lineages (EA017 = 1, EA019 = 1, EA021 = 6)","See related comment(s) by Murdock: variable EA017, EA019: Quasi-lineages inferred from the patrilocal but basically territorial ward organization and from vestigial patrisibs",with special reference to the Kgatla (Bakxatla),Duggan-Cronin(1929); Dorman(1935); Schapera(1953); Schapera(1950); Schapera(1941); Schapera(1938); Schpera(1941); Livingstone(1858); Brown(1926); 
Ethnographic Atlas,Jebala,Cd15,xd513,Jebala (Cd15),35.0,-5.0,35.0,-5.0,jebl1238,Jebli,,Afro-Asiatic,,NA,Missing data,,,,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Rackow(1958); Michaux-Bellaire(1911); 
Ethnographic Atlas,Chechen,Ci7,xd583,Chechen (Ci7),43.0,46.0,43.0,46.0,chec1245,Chechen,che,Nakh-Daghestanian,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Plaetschke(1929); Lotz(1956); 
Ethnographic Atlas,Ijaw,Af21,xd199,Ijaw (Af21),4.37,6.58,2.0,6.0,kala1381,Kalabari,ijn,Ijoid,,NA,Missing data,,,,1920,5,"Ambilineal (EA017 = 1, EA019 = 1, EA021 = 3 or EA021 = 4 or EA021 = 5)","See related comment(s) by Murdock: variable EA017, EA019: The so-called ""houses"" are presumably ramages rather than patrilineages in view of the reported avunculocal residence and matrilineal affiliation in cases where only a token bride-price is paid",with special reference to the Kalabari,Granville and Roth(1898); Talbot(1932); 
Ethnographic Atlas,Western Apache,Nh17,xd1267,Western Apache (Nh17),34.0,-110.0,34.0,-110.0,west2615,Western Apache,apw,Athapaskan-Eyak-Tlingit,1870,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Gifford(1940); Opler(1941); Goodwin(1942); Lockwood(1938); Goodwin(1935); Kaut(1957); ,1870,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Gifford(1940); Opler(1941); Goodwin(1942); Lockwood(1938); Goodwin(1935); Kaut(1957); 
Ethnographic Atlas,Iwa,Ad15,xd82,Iwa (Ad15),-10.0,32.0,-10.0,32.0,nyam1275,Nyamwanga,mwn,Atlantic-Congo,,NA,Missing data,,,,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Coxhead(1914); Wilson(1958); Chisholm(1910); Willis(1966); 
Ethnographic Atlas,Khevsur,Ci2,xd578,Khevsur (Ci2),43.0,45.0,43.0,45.0,xevs1238,Xevsur,,Kartvelian,,NA,Missing data,,,,1930,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Grigolia(1939); 
Ethnographic Atlas,Bassari,Ag21,xd257,Bassari (Ag21),12.0,-13.0,12.0,-13.0,bass1258,Bassari,bsc,Atlantic-Congo,,NA,Missing data,,,,1910,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Lestrange(1950); 
Ethnographic Atlas,Munduruku,Sd1,xd1353,Mundurucu (Sd1),-6.0,-58.0,-6.0,-58.0,mund1330,Mundurukú,myu,Tupian,1950,8,"Mixed or variant patterns not adequately represented by any of the foregoing symbols. The details are given under ""Classification by Clusters.""","MoBrCh equated with SiCh, FaSiSo equated with MoBr, and a special term for FaSiDa",Cabrura village,Murphy(1960); Murphy(1958); Murphy(1957); Murphy(1956); Frikel(1959); Kruse(1937); Tocantins(1877); Martius(1863-67); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,Cabrura village,Murphy(1960); Murphy(1958); Murphy(1957); Murphy(1956); Frikel(1959); Kruse(1937); Tocantins(1877); Martius(1863-67); 
Ethnographic Atlas,Sapei,Aj27,xd403,Sapei (Aj27),1.0,35.0,1.0,35.0,kups1238,Kupsabiny,kpz,Nilotic,1920,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch","Probably, though possibly Sudanese",,Roscoe(1924); ,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Roscoe(1924); 
Ethnographic Atlas,Laguna,Nh14,xd1264,Laguna (Nh14),35.0,-107.0,35.0,-107.0,acom1246,Acoma,,Keresan,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",,,Eggan(1950); Parson(1923); ,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Eggan(1950); Parson(1923); 
Ethnographic Atlas,Tongarevans,Ij10,xd890,Tongarevans (Ij10),-9.02,-158.03,-9.0,-158.0,penr1237,Penrhyn,pnh,Austronesian,1900,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,,Buck(1932b); ,1900,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",See related comment(s) by Murdock: variable EA021: Or very possibly ambilineal,,Buck(1932b); 
Ethnographic Atlas,Navajo,Nh3,xd1279,Navaho (Nh3),37.0,-110.0,37.0,-110.0,nava1243,Navajo,nav,Athapaskan-Eyak-Tlingit,1930,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Leighton and Kluckhohn(1947); Franciscan Fathers(1910); Kluckhohn(1947); Kluckhohn and Leighton(1946); Goldfrank(1945b); Hill(1938); Reichard(1928); ,1930,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Leighton and Kluckhohn(1947); Franciscan Fathers(1910); Kluckhohn(1947); Kluckhohn and Leighton(1946); Goldfrank(1945b); Hill(1938); Reichard(1928); 
Ethnographic Atlas,Bira,Ae30,xd150,Bira (Ae30),1.0,29.0,1.0,29.0,bila1255,Bila,bip,Atlantic-Congo,,NA,Missing data,,,,1920,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Van Geluwe(1956); Czekanowski(1924g); 
Ethnographic Atlas,Picuris,Nh9,xd1285,Picuris (Nh9),36.0,-106.0,36.0,-106.0,picu1240,Picuris,,Kiowa-Tanoan,1920,3,"Eskimo, i.e., FaBrCh, FaSiCh, MoBrCh, and MoSiCh equated with each other but differentiated from siblings",,,Trager(1943); Parsons(1939); ,1920,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)",See related comment(s) by Murdock: variable EA017: But there were agamous ceremonial patrimoieties,,Trager(1943); Parsons(1939); 
Ethnographic Atlas,Miriam,Ie14,xd790,Miriam (Ie14),-9.91,144.06,-10.0,144.0,meri1244,Meriam,ulk,Eastern Trans-Fly,1900,5,"Iroquois, i.e., FaSiCh equated with MoBrCh but differentiated from both siblings and parallel cousins",,,Haddon(1908); ,1900,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Haddon(1908); 
Ethnographic Atlas,Acoma,Nh13,xd1263,Acoma (Nh13),35.0,-108.0,35.0,-108.0,acom1246,Acoma,,Keresan,1920,1,"Crow, i.e., FaSiCh equated with Fa or FaSi and/or MoBrCh with Ch or BrCh(ws)",Recently trending strongly toward Hawaiian,,Eggan(1950); White(1932); Mickey(1956); White(1943); Miller(1959); ,1920,3,"Matrilineal (EA017 = 1, EA019 > 1, EA021 = 9)",,,Eggan(1950); White(1932); Mickey(1956); White(1943); Miller(1959); 
Ethnographic Atlas,Yergum,Ah22,xd312,Yergum (Ah22),9.0,10.0,9.0,10.0,taro1263,Tarok,yer,Atlantic-Congo,,NA,Missing data,,,,1900,NA,Missing data,"See related comment(s) by Murdock: variable EA017, EA019: The reported ""clans"" are presumably patrilineal, though Ames mentions very strong survivals of matrilineal descent",,Meek(1931d); Temple(1922); Meek(1931a); Fitzpatrick(1910); Ames(1934); 
Ethnographic Atlas,Mossi (Yatenga),Ag2,xd255,Yatenga (Ag2),13.0,-2.0,13.0,-2.0,moss1236,Mossi,mos,Atlantic-Congo,1950,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,"with special reference to Massi (Moshi) of Yatenga; (for those of Ouagadougou, see Ag47)",Yatenga(1950); Izard-Heritier and Izard(1959); Tauxier(1917); Hammond(nd); Hammond(1966); Hammond(1964); ,1950,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,"with special reference to Massi (Moshi) of Yatenga; (for those of Ouagadougou, see Ag47)",Yatenga(1950); Izard-Heritier and Izard(1959); Tauxier(1917); Hammond(nd); Hammond(1966); Hammond(1964); 
Ethnographic Atlas,Sema,Ei16,xd703,Sema (Ei16),26.0,95.0,26.0,95.0,sumi1235,Sumi Naga,nsm,Sino-Tibetan,1910,6,"Omaha, i.e., MoBrCh equated with MoBr or Mo and/or FaSiCh with SiCh(ms) or Ch",,,Hutton(1921b); ,1910,1,"Patrilineal (EA017 > 1, EA019 = 1, EA021 = 9)",,,Hutton(1921b); 
Ethnographic Atlas,Mbuti,Aa5,xd5,Mbuti (Aa5),2.0,28.0,2.0,28.0,kang1285,Kango (Tshopo District),kzy,Atlantic-Congo,1930,4,"Hawaiian, i.e., all cousins equated with siblings or called by terms clearly derivative from those for siblings",,"Epulu net-hunters, Ituri forest",De Leeuwe(1966); Putnam(1948); Hart(1978); Turnbull(1983); Turnbull(1965c); Turnbull(1965b); Turnbull(1965a); Turnbull(1961); ,1930,6,"Bilateral (EA017 = 1, EA019 = 1, EA021 = 1 or EA021 = 2)","See related comment(s) by Murdock: variable EA017: Entry follows Schebesta; Czekanowski denies unilineal descent groups; variable EA021: Entry follows Schebesta; Czekanowski reports bilateral (inferred) (code ""1"")","Epulu net-hunters, Ituri forest",De Leeuwe(1966); Putnam(1948); Hart(1978); Turnbull(1983); Turnbull(1965c); Turnbull(1965b); Turnbull(1965a); Turnbull(1961); 
